Title,Country,Year,Genre,Director,Starring,Poster URL
Seven Man Army,Hong Kong,1976,martial arts,"Wu Ma, Hsiung Ting-Wu, Chang Cheh ","Alexander Fu Sheng, David Chiang Da-Wei, Ti Lung, Chi Kuan-Chun, Chen Kuan-Tai, Gordon Liu Chia-Hui, Johnny Wang Lung-Wei, Li Yi-Min ",https://en.hkcinema.ru/foto/43a380bb.jpg
14 Blades,Hong Kong,2010,"martial arts, historical",Daniel Lee Yan-Gong ,"Donnie Yen Ji-Dan, Vicki Zhao Wei, Wu Ma, Kate Tsui Tsz-Shan, Law Kar-Ying, Sammo Hung Kam-Bo, Wu Chun, Fung Hak-On, Qi Yu-Wu, Chen Kuan-Tai ",https://en.hkcinema.ru/foto/bf050942.jpg
Thirty-Six Sword Guards,Hong Kong,1971,martial arts,Gwan Jing-Leung ,"Tanny Tien Ni, Lui Ming, Chan Kei, Han Chiang, Gwan Jing-Leung, Teng Jue-Jen, Lee Mei-Guen, Ching Wa, Tung Li, Cheung Kai ",https://en.hkcinema.ru/foto/nofoto.gif
The 7 Grandmasters,Taiwan,1978,martial arts,Joseph Kuo Nan-Hong ,"Li Yi-Min, Jack Lung Sai-Ga, Mark Lung Koon-Mo, Chin Yuet-Sang, Alan Chui Chung-San, Wang Fan, Wong Hoi, Eagle Lee Siu-Fei, Corey Yuen Kwai ",https://en.hkcinema.ru/foto/8c741171.jpg
Bruce Tuan's 7 Promises,Taiwan,1980,martial arts,Au-Yeung Wang ,"Mang Fei, Chan Sing, Yueh Hua, Ha Ling-Ling, Yee Yuen, Yuen Sam, Lee Seung, Goo Chang, Gam Boh, Alan Lau Tak-Hoi, Chang Peng ",https://en.hkcinema.ru/foto/abb01ce1.jpg
The Bandits,Hong Kong,1971,"action, martial arts",Shin Sang-Ok ,"Angela Yu Chien, Shin Young-Kyun, Wang Hsieh ",https://en.hkcinema.ru/foto/420ce132.jpg
The 13 Cold-Blooded Eagles,Hong Kong,1993,"martial arts, fantasy",Chui Fat ,"Waise Lee Chi-Hung, Cynthia Khan, Yen Shi-Kwan, Chung Fat, Wan Seung-Lam, Lau Ji-Wai, Anthony Cho Cheuk-Nin, Tin Ching, Ng Ting-Ko ",https://en.hkcinema.ru/foto/c6339753.jpg
"Infernal Gate, The (Part 1)",Hong Kong,1966,martial arts,Siu Sang ,"Josephine Siao Fong-Fong, Connie Chan Po-Chu, Lee Hung, Sek Kin, Lee Heung-Kam, Yung Yuk-Yi, Yam Bing-Yee, Lau Ching, Siu Chung-Kwan ",https://en.hkcinema.ru/foto/592e59ca.jpg
18 Swirling Riders,Taiwan,1977,martial arts,Lin Fu-Ti ,"Chan Sing, Chia Ling, Lo Lieh, Don Wong Tao, Wen Chiang-Long, Chan Wai-Lau, Fan Dan-Fung, Cheung Ying, Liu Ping, Cheng Fu-Hung ",https://en.hkcinema.ru/foto/ed51ae8a.jpg
The 36 Deadly Styles,Hong Kong,1979,martial arts,Joseph Kuo Nan-Hong ,"Jack Lung Sai-Ga, Nick Cheung Lik, Hwang Jang-Lee, Jeannie Chang Yung-Yung, Yen Shi-Kwan, Mark Lung Koon-Mo, Mau Ging-Shun, Fan Mei-Sheng ",https://en.hkcinema.ru/foto/c6800bec.jpg
Unity of Heroes 2,China,2018,"historical, martial arts",Marco Mak Chi-Sin ,"Vincent Zhao Wen-Zhuo, Miya Mu-Qi, Li Bu-Bing, Wei Ni, Wei Xiao-Huan, Chen Chen, Gao Xuan-Ming, Sawada Kenya, Sang Wei-Lin, Zhang Ya-Kun ",https://en.hkcinema.ru/foto/5c3430274ea21.jpg
