title,country,poster,release_year,genre,director,starring
A Pretended Rebel,Taiwan,https://en.hkcinema.ru/foto/ca8bc84c.jpg,1979,martial arts,Law Chi ,"Chang Yu, Yueh Hua, Chan Muk-Chuen, Eddy Ko Hung, Miao Tian, Hsiang Mei-Lung, Wang Hsieh, Sun Jung-Chi, Shih Ting-Ken, Ma Cheung, Siu Gam "
Tian Zhuang A Ge,Taiwan,https://en.hkcinema.ru/foto/5fa2312f.jpg,1983,martial arts,"Kevin Chu Yen-Ping, Chiu Chan-Kwok ","Choi Wing-Wa, Ma Sha, Tse Man-Yik, Hung Choi-Ling, Cheung Hung-Gei, Sha Lee-Man, Yen Chung, Yu Chung-Chiu, Lam Gwong-Chun, Chan Chiu-Pang "
Ninja Terminator,Hong Kong,https://en.hkcinema.ru/foto/914ab081.jpg,1985,martial arts,Godfrey Ho Jeung-Keung ,"Richard Harrison, Phillip Ko Fei, Jonathan Watts, Suen Kwok-Ming, Maria Francesca Harrison, Chiang Tao, Lam Chi-Foo, Hwang Jang-Lee "
Miraculous Flower,Taiwan,https://en.hkcinema.ru/foto/f57b7aed.jpg,1981,martial arts,Fong Ho ,"Pearl Cheung Ling, Wang Hsieh, Gua Ah-Lei, Peng Kong, Chung Wah, Wong Kwok-Fai, Got Siu-Bo, Clement Yip Chiu-Yuk, Samuel Suen Sau-San "
Ninja Champion,Hong Kong,https://en.hkcinema.ru/foto/7d0a1f7f.jpg,1986,martial arts,Godfrey Ho Jeung-Keung ,"Bruce Baron, Pierre Tremblay, Lam Chi-Foo, Yoon Yang-Ha, Baek Hwang-Ki, Dragon Lee, Richard Harrison "
Ninja: American Warrior,Hong Kong,https://en.hkcinema.ru/foto/29c2d34d.jpg,1988,"action, martial arts",,"Jonathan Isgar, Chang Seng-Kwong, Chiang Tao, Lu I-Chan, Wa Lun, Chuen Yuen "
Ninja: The Shadow Killer,Hong Kong,https://en.hkcinema.ru/foto/9e038b97.jpg,1989,"action, martial arts",,"Wayne Archer, Deborah Grant, Danny Raisebeck, Kenneth Smyth "
The Beggar Knight,China,https://en.hkcinema.ru/foto/5bb1b3cee338b.jpeg,2018,"martial arts, thriller, romance, comedy",Du Ge ,"Du Ge, Niu Li-Yan, Yao Yang, Peng San, Zhou Yuan, Zhang Hai-Bin, Zang Tian-Shuo, An Hu, Ba Duo, Chuan Zi, Chuan Sao, Zhang Hao "
The Beggar and the Pretty Prostitute,Taiwan,https://en.hkcinema.ru/foto/nofoto.gif,1979,"martial arts, drama",Ko Yu-Min ,"Tso Yen-Yung, Lin Chun-Yu, Wong Tak-Chi, Cheng Yan-Yan, Mark Lung Koon-Mo, Ko Yu-Min, Wong Cheong-Chi, Cheung Ying-Kei, Yuen Sam "
The New Game of Death,Taiwan,https://en.hkcinema.ru/foto/cb4c23ab.jpg,1975,martial arts,"Lin Bing, Harold B. Shwartz ","Bruce Li Shao-Lung, Lung Fei, ""Big"" Johnny Floyd, Wei Hung-Sheng, Ma Cheung, Shan Mao, Tsai Hung, Lee Keung, Chang Yi-Kuai, Hau Pak-Wai "
"Story of Wong Fei-Hung, The (2nd Sequel)",Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1955,martial arts,Ting Ling ,"Kwan Tak-Hing, Walter Tso Tat-Wah, Lam Ye, Lam Kau, Ha Wa, Liu Chi-Wai, Chan Hon-Chung, Chan Yiu-Lam, Chow Chi-Sing "
"New Tale of the Flying Crane, The (Part 1)",Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1962,martial arts,Miu Hong-Nee ,"Walter Tso Tat-Wah, Fung Wong-Nui, Sek Kin, Poon Yat-On, Lee Heung-Kam, Sze-Ma Wah-Lung, Yung Yuk-Yi, Ko Lo-Chuen, Connie Chan Po-Chu "
"New Tale of the Flying Crane, The (Part 2)",Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1963,martial arts,Miu Hong-Nee ,"Walter Tso Tat-Wah, Fung Wong-Nui, Poon Yat-On, Sek Kin, Lee Heung-Kam, Sze-Ma Wah-Lung, Yung Yuk-Yi, Ko Lo-Chuen, Connie Chan Po-Chu "
The New Legend of Shaolin,Hong Kong,https://en.hkcinema.ru/foto/c351ad09.jpg,1994,martial arts,Wong Jing ,"Jet Li Lian-Jie, Deannie Yip Tak-Han, Xie Miao, Chan Chung-Yung, Chingmy Yau Suk-Ching, Adam Cheng Siu-Chow, Wong Jing, Damian Lau Chung-Yan "
The New Dragon Gate Inn,China,https://en.hkcinema.ru/foto/5d89ac4cb7590.jpg,2019,"historical, martial arts",Zhu Shao-Jie ,"Kyle Ma Ke, Stephy Qi Wei, Shen Meng-Chen, Bao Jian-Feng, Daniel Chan Hiu-Tung, Liu Yao-Yuan, Mabel Ye Xi-Qi, Apollo Yu Bo, Jiang Zhen-Hao "
Xin Long Ke Zhan Fan Wai Pian Jin Xiang Yu,China,https://en.hkcinema.ru/foto/5d89aa06496dd.jpg,2019,"action, martial arts",Huang Yi ,"He Xin-Zhu, Evan Lu Jun-Yan, Gong Yuan, Alex Xiao-Fei, Leonon Li Ming-Ming, Du Qiao, Li Yi-Cheng, Mie Da-Li, Nick Fu-Si, Man Qiang "
Xin Feng Shen Zhi Ne Zha Nao Hai,China,https://en.hkcinema.ru/foto/5d0204d19b17b.png,2019,"action, fantasy, martial arts",Luo Le ,"Xie Miao, Chin Siu-Ho, Han Xin, Li Xian-Shi, Fan Zi-Qi, Zhao Ji, Jing Long, Hu Dong-Qing, Wu Li-Hua, Jessica Luk Ying "
New Martial Arts,China,https://en.hkcinema.ru/foto/58ca007d6beab.jpg,2017,"historical, martial arts",Xu Jun ,"Liu Nuo-Yao, Alex Fang Shuai, Jin Ning, Qian Yu-Xu "
The New Shaolin Boxers,Hong Kong,https://en.hkcinema.ru/foto/ff1406a4.jpg,1976,martial arts,"Wu Ma, Chang Cheh ","Alexander Fu Sheng, Jenny Tseng, Johnny Wang Lung-Wei, Leung Kar-Yan, Phillip Kwok Chun-Fung, Chan Wai-Lau, Shan Mao, Wang Ching-Liang "
Xin Gui Da Gui,China,https://en.hkcinema.ru/foto/a291aac0b48b8f63c4a8d8dee06a0101dbn.jpg,2016,"horror, comedy, fantasy, martial arts",Dick Wei ,"Lau Wing, Tan Guo-Liang, Chen Kuan-Tai, Dick Wei, Liu Hong-Gang, Jiang Yan-Xi, Ren Qi, Ma Ting-Ting, Wu Qing-Xing, Bai Jin-Bo, Danny Zhu Jun-Xian "
New Tales of the Flying Fox,Hong Kong,https://en.hkcinema.ru/foto/126a09c0.jpg,1984,martial arts,Lau Shut-Yue ,"Alex Man Chi-Leung, Felix Wong Yat-Wah, Kara Hui Ying-Hung, Ku Kuan-Chung, Tai Liang-Chun, Leung Kar-Yan, Michael Tong Chun-Chung "
Xin Qi Zia Wu Yi Zhi Tu Long An,China,https://en.hkcinema.ru/foto/5c1b8ce5c9319.jpg,2018,"mystery, martial arts, fantasy",Ding Lun ,"Li Meng-Yi, Yang Huan, He Qi-Wei, Sang Xun-Hua, Zhi Yu, Weng Yi-Ming, Li Xing-Yu, Wang Zi-Hao, Guo Xu-Wei, Liu Xue-Tao, Sha Yu "
The New South Hand Blows and North Kick Blows,Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1981,martial arts,,Chang Hsin-Yi 
The Valiant Ones New,China,https://en.hkcinema.ru/foto/edbd0598.jpg,2007,"martial arts, drama, historical","Liu Xin, Lao Da ","Nicky Wu Chi-Lung, Crystal Huang Yi, Yuen Wah, Terence Yin Chi-Wai, Timmy Hung Tin-Ming, Yang Zi, Calvin Sun Zu-Yang, Zheng Xiao-Ning "
Neo-Northeast Hero,Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1949,martial arts,Yam Pang-Nin ,"Ping Fan, Wu Lai-Chu, Yiu Ping, Ku Ji-Chau, Lin Na, Cao Yan, Chiang Jui, Cheng Man, Chen Chien, Guan Wu, Lau Yan-Kit, Lee Dan-Mei "
New Fist of Fury,Hong Kong,https://en.hkcinema.ru/foto/7f907aa9.jpg,1976,martial arts,Lo Wei ,"Jackie Chan, Nora Miao Ke-Hsiu, Han Ying-Chieh, Chan Sing, Wang Ching-Liang, Yip Hoi-Ching, Lo Wei, Lui Wan-Biu, Chan Jan "
New Swordsman,China,https://en.hkcinema.ru/foto/5bdc4f0cbbfa4.jpg,2018,"historical, martial arts","Jin Chen, Jamie Luk Kim-Ming ","Ding Guan-Sen, Xue Hao-Jing, Ding Zhou-Jie, Liu Jia-Tong, Chen Xun, Jiang Zi-Xin, Li Hao-Han, Jiang Zhuo-Jun, Zheng Hao, Wang Jin-Song "
Xiao Shi Yi Lang,China,https://en.hkcinema.ru/foto/f41291bc7caf3294039d2bc547dad28edbn.jpg,2016,"martial arts, historical","Kuk Kok-Leung, Wong Chou-Kuen ","Kevin Yan Kuan, Gan Ting-Ting, Zhu Yi-Long, Li Yi-Xiao, Kristy Zhang Han-Yun, Carrie Wang Yi-Tong, Yang Jing-Ru, Yu Qing-Bin, Yuen Wah "
The New One-Armed Swordsman,Hong Kong,https://en.hkcinema.ru/foto/6c1ff0d2.jpg,1971,martial arts,Chang Cheh ,"David Chiang Da-Wei, Ti Lung, Li Ching, Ku Feng, Chan Sing, Wong Chung, Lau Gong, Huang Pei-Chih, Wang Kuang-Yu, Wong Ching-Ho "
Xin Meng Long Guo Jiang,China,https://en.hkcinema.ru/foto/591de7525bbcf.jpg,2015,"martial arts, drama","Jin Chen, Ling Fei, Hei Long ","Michael Miu Kiu-Wai, Danny Chan Kwok-Kwan, Yang Rong, Fan Yu-Lin, Wang Wei-Guang, Mou Feng-Bin, Du Wei-Han, Brenda Wang Si-Yi "
New ''Lou-Sheng-Men'',Taiwan,https://en.hkcinema.ru/foto/71339a46.jpg,1971,martial arts,Lee Ying ,"Yueh Yang, Chiang Fan, Tsui Fu-Sheng, Ma Kei, Hon Siu, Lee Ying, Wong Yu, Wong Jun, Ko Hsiang-Ting, Cho Kin, Kuk Wang "
Xin Fang Shi Yu Zhi Jue Zhan Wei Cheng,China,https://en.hkcinema.ru/foto/5de1fef4e50db.jpg,2019,"historical, martial arts, drama",Liu Ya-Se ,"Bai Na Ri Su, Su Yue, Suen Kau-Lung, Norman Chu Siu-Keung, Chen Zhi-Hui, Liu Wan-Ting, Ge Wen-Xi, Zheng Yi, Michael Chi Cheng "
New Shaolin Temple,China,https://en.hkcinema.ru/foto/sp_53c2cf3d5827d.jpg,1998,martial arts,"Yuen Wo-Ping, Cheung Sing-Yim, Jacob Cheung Chi-Leung, Kuk Kok-Leung ","Jacky Wu Jing, Athena Chu Yun, Fan Siu-Wong, Pan Hao-Hao, Chin Siu-Ho, Yue Hoi, Leanne Lau Suet-Wah, Zhou Xiao-Wen, Xiong Xin-Xin "
Chuk Fung Lin Wan Tui,Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1980,martial arts,,"Bruce Leung Siu-Lung, Ku Feng, Hon Kwok-Choi "
The Knife of Devil's Roaring and Soul Missing,Taiwan,https://en.hkcinema.ru/foto/bb962eb2.jpg,1976,martial arts,Li Kuan-Chang ,"Dorian Tan Tao-Liang, Lo Lieh, Doris Lung Chun-Erh, Shao Lo-Hui, Wan Chung-Shan, Au-Yeung Chung, Liu Ping, Tung Li, Chiu Ting, Shut Chung-Tin "
The Five Swordsman's Nocturnal Tryst,Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1940,martial arts,Man Han-Fei ,"Wai Siu-Fong, Wong Hok-Sing, Tsang Sam-To, Wong Chung-Wong, Tik Tik-Ling, Fung Keng-Wah, To Sam-Ku, Chan Sing-Cheung "
Nocturnal Medicine,China,https://en.hkcinema.ru/foto/5bf8faeda0a5d.jpg,2018,"action, fantasy, martial arts",Luo Le ,"Li Xian-Shi, Qi Xin, Zong Yi-Tong, Yang Shu-Feng, Norman Chu Siu-Keung, Xu Ai-Min, Quan You, Wang Lei, Chen Xue-Wei "
Nocturnal Mission of Three Kunlun Swordswomen,Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1961,martial arts,Yam Pang-Nin ,"Wu Lai-Chu, Walter Tso Tat-Wah, Yu So-Chau, Hu Hung-Yen, Sek Kin, Chow Kei, Tang Mei-Mei, Simon Yuen Siu-Tin, Lai Ming, Wong Sau-Han "
Nocturnal Mourning for White Lotus,Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1956,martial arts,Chow Sze-Luk ,"Lam Kau, Law Yim-Hing, Law Kim-Long, Yip Lai-Lee, Ma Siu-Ying, Pak Lung-Chu, Cheung Sing-Fei, Go Chiu, Kwong Siu-Loi, Lai Man, Ling Mung "
Night Discovery of the Women's Trap,Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1949,martial arts,Ng Wui ,"Lai Yee, Lo Ban-Chiu, Mui Chun, Wong Cho-San, Fung Ying-Seung, Chan Tin-Chung, Chow Chi-Sing, Cheng Kwun-Min, Lam Liu-Ngok, Lam Siu "
A Night Visit to the Mysterious Cave,Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1960,martial arts,"Wu Pang, Suen Wai ","Law Yim-Hing, Sek Yin-Tsi, Lam Kau, Yam Bing-Yee "
Crossing Yuanyang River by Night,Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1953,martial arts,Ting Ling ,"Walter Tso Tat-Wah, Lam Kau, Law Yim-Hing, Chan Wai-Yue, Sek Kin, Wong Sau-Nin, Go Chiu, Ko Lo-Chuen, Lau Cham, Ling Mung, Liu Chi-Wai "
Night of the Long Knives,Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1960,martial arts,Tu Kuang-Chi ,"Josephine Siao Fong-Fong, Chang Yi-Hung, Chin Feng, Lam Fung, Tang Ti, Huang Chung-Hsin, Chou Man-Hua, Ma Kei "
Night of the Assassins,Taiwan,https://en.hkcinema.ru/foto/1505968a.jpg,1981,martial arts,Pao Hsueh-Li ,"David Chiang Da-Wei, Shih Szu, Danny Lee Sau-Yin, Tsai Hung, Wong Ching, Ko Keung, Wu Chia-Hsiang, Cho Boon-Feng, Chiu Ting, Chang Chung-Kui "
Nunchucks,China,https://en.hkcinema.ru/foto/cefceb83.jpg,2012,martial arts,"Chen Tien-Xing, Chen Chun-Lei ","Chen Tien-Xing, Yu Yang-Fei, Miu Shixuan, Huang Xi-Heng, Liu Yong-Qi, Huang Teng-Da, Li Jie "
Of Cooks and Kung Fu,Taiwan,https://en.hkcinema.ru/foto/45dd9232.jpg,1979,martial arts,Ting Chung ,"Jacky Chen Shao-Lung, Ga Hoi, Chen Shan, Lee Kwan, Gam Ban, Li Kuan-Chang, Wu Ma, Wong Yeuk-Ping, Cheng Sai-Gang, Mau Ging-Shun "
Pledge of the Twin Blades (Part 1),Hong Kong,https://en.hkcinema.ru/foto/1c2691b8.jpg,1962,martial arts,Lung To ,"Christine Pai Lu-Ming, Yu So-Chau, Walter Tso Tat-Wah, Leung Sing-Bo, Sek Kin, Cheung Sang, Chow Gat, Cheung Chok-Chow, Seung-Goon Yuk "
Pledge of the Twin Blades (Part 2),Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1962,martial arts,Lung To ,"Christine Pai Lu-Ming, Yu So-Chau, Walter Tso Tat-Wah, Leung Sing-Bo, Sek Kin, Cheung Sang, Chow Gat, Seung-Goon Yuk, Siu San-Kuen "
Zhui Hun Duo Ming Jian,China,https://en.hkcinema.ru/foto/nofoto.gif,2006,"martial arts, fantasy",,"Eric Suen Yiu-Wai, Fan Yik-Man, Wong Yat-Fei "
Hua Zhao,China,https://en.hkcinema.ru/foto/5751cae4a6913.jpg,2012,"martial arts, comedy",Zhang Shao-Jun ,"Jack Tu Sheng-Cheng, Liu Fang-Yu, Du Yu-Ming, Sam Zhu Lai-Cheung, Chi Zhi-Qiang, Yan Yan-Long, Liu Wei, Li Yue, Zhang Yong-Da "
Naked Weapon 2,Hong Kong,https://en.hkcinema.ru/foto/591c65e15494c.jpg,2018,"action, martial arts",,Aman Chang 
Fire Bulls,Taiwan,https://en.hkcinema.ru/foto/b22d1194.jpg,1966,martial arts,"Lee Chia, Lee Hang, Pai Ching-Jui ","Tang Pao-Yun, Ko Hsiang-Ting, Wei Su, Fuh Bih-Huei, Wong Yung, Hsu I-Kung, Chung Yau, Ku Kwan, Tsui Fu-Sheng, Wu Chia-Chi, Chen Kuo-Chun "
Fire Dragon,Hong Kong,https://en.hkcinema.ru/foto/e143175f.jpg,1994,martial arts,Yuen Wo-Ping ,"Brigitte Lin Ching-Hsia, Max Mok Siu-Chung, Yip Chuen-Chan, Sandra Ng Kwun-Yu, Tan Lap-Man, Joe Chu Kai-Sang, Mo Kong, Wu Gang "
Fire Dragon and the Mythical Pearl,Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1966,martial arts,Wu Pang ,"Yu So-Chau, Josephine Siao Fong-Fong, Cheung Ying-Tsoi, Sek Kin, Lam Tin, Yeung Yip-Wang, Lok Gung, Ko Lo-Chuen, Cheung Sang "
Firefist of the Incredible Dragon,Hong Kong,https://en.hkcinema.ru/foto/57ca719e.jpg,1982,martial arts,Jimmy Tsang ,"Jerry Young, Maple Lin, Chan Bo-Leung, Keith Lee, Paul Chan, Poon Cheung-Ming, Bob Ma, Kent Wong, Kim Yu-Haeng, Mandy Ding, Oliver Kim, Sammy Lai "
Fiery Thunderbolt Qin Ming,China,https://en.hkcinema.ru/foto/b3625e4b.jpg,2013,martial arts,Liu Xin-Yi ,"Patrick Tam Yiu-Man, Angela Chen Jia-Jia, Li Cheng-Feng, Yu Hong-Zhou "
Tin Long Gip,Hong Kong,https://en.hkcinema.ru/foto/54d095ec85d02.jpg,1987,"drama, martial arts, fantasy",,"Andy Lau Tak-Wah, Maggie Siu Mei-Kei, Law Lai-Ngo, Newton Lai Hon-Chi, Chu Tit-Wo, Helena Law Lan, Lau Dan, Amy Wu Mei-Yee, Hui Siu-Hung "
Ode to Gallantry,Hong Kong,https://en.hkcinema.ru/foto/118d683e.jpg,1982,martial arts,Chang Cheh ,"Phillip Kwok Chun-Fung, Wong Lik, Candy Wen Xue-Er, Ricky Cheng Tien-Chi, Sun Chien, Tang Ching, Chan Shen, Chiang Sheng "
Ode To Gallantry,China,https://en.hkcinema.ru/foto/59893f7db1ba6.jpg,2017,"historical, martial arts, drama","Wei Xiong, Chiu Chin ","Johnny Cai Yi-Da, Jenny Zhang Jia-Ni, Lisa Li Jing-Yang, Waise Lee Chi-Hung, Norman Chu Siu-Keung, Lau Sek-Ming, He Jia-Yi, Kent Tong Chun-Yip "
Xia Mo Zhi,China,https://en.hkcinema.ru/foto/5bb46cabaf4b3.jpeg,2018,"ghost, martial arts, romance",Ou-Mi Ye ,"Li Jian-Chen, Yang Yan, Yang Fei-Yi, Zhong Bin-Bin, Gong Jian, Li Guo-Yan, Yu Zhi, Gu Ming, Zhang Li-Qi, Zhang Liang-Min "
One by One,Taiwan,https://en.hkcinema.ru/foto/3f51d06d.jpg,1973,martial arts,Kim Lung ,"Kurata Yasuaki, Kam Kong, Hong Dai-Tung, Woo Chau-Ping, Shih Ting-Ken, Chiu Keung, Sham Chin-Bo, Lung Fong, Gam Ming, Lee Ka-Ting "
The Lone Hero,Taiwan,https://en.hkcinema.ru/foto/1451be1e.jpg,1973,martial arts,Liang Che-Fu ,"Joan Lin Feng-Chiao, Chu Chiang-Hua, Tin Man-Chung, Cheung Ping, Han Chiang, Shih Ting-Ken, Lai Te-Nan, Kam Kong, Tse Chung-Mau "
Lonely Famous Sword,Taiwan,https://en.hkcinema.ru/foto/af6006ac.jpg,1980,martial arts,Chen Ming-Hua ,"Pearl Cheung Ling, Liu Shan-Chian, Wen Chiang-Long, Chang Fu-Chien, Chen Li-Hua, Michael Chan Wai-Man, Chung Wah, Chi Kuan-Chun "
Lone Shaolin Avenger,South Korea,https://en.hkcinema.ru/foto/ac3c7aba.jpg,1977,martial arts,Kim Jung-Yong ,"Casanova Wong, Yeung Wai, Carrie Lee Ying-Ying, Bruce Cheung Mong, Gwak Mu-Seong, Nam Chung-Yat, Elton Chong, Jeon Shook, Hung Sing-Chung "
One Duel Too Many (Part 1),Hong Kong,https://en.hkcinema.ru/foto/122ffca3.jpg,1966,martial arts,Chan Man ,"Patrick Tse Yin, Patsy Ka Ling, Kong Suet, Yeung Sai, Tong Kai, Liu Chia-Liang, Helena Law Lan, Fung Ngai, Chu Siu-Boh, Simon Yuen Siu-Tin "
One Duel Too Many (Part 2),Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1966,martial arts,Chan Man ,"Patrick Tse Yin, Patsy Ka Ling, Kong Suet, Yeung Sai, Tong Kai, Liu Chia-Liang, Helena Law Lan, Chu Siu-Boh, Cheung Sang, Fung Ngai "
Once Upon a Time in China,Hong Kong,https://en.hkcinema.ru/foto/a03db031.jpg,1991,martial arts,Tsui Hark ,"Jet Li Lian-Jie, Jacky Cheung Hok-Yau, Kent Cheng Jak-Si, Rosamund Kwan Chi-Lam, Yuen Biao, Yau Gin-Gwok, Wong Kim-Bun, Wu Ma, Jimmy Wang Yu "
Once Upon a Time in China II,Hong Kong,https://en.hkcinema.ru/foto/deaba917.jpg,1992,martial arts,Tsui Hark ,"Jet Li Lian-Jie, Donnie Yen Ji-Dan, Max Mok Siu-Chung, Rosamund Kwan Chi-Lam, Xiong Xin-Xin, Wong Kim-Bun, David Chiang Da-Wei, Yen Shi-Kwan "
Once Upon a Time in China III,Hong Kong,https://en.hkcinema.ru/foto/3e3834af.jpg,1993,martial arts,Tsui Hark ,"Jet Li Lian-Jie, Max Mok Siu-Chung, Rosamund Kwan Chi-Lam, Xiong Xin-Xin, Ge Cun-Zhuang, John Wakefield, Lau Shun, Zhang Chun-Zhong "
Once Upon a Time in China IV,Hong Kong,https://en.hkcinema.ru/foto/1376d10f.jpg,1993,martial arts,Yuen Bun ,"Vincent Zhao Wen-Zhuo, Billy Chow Bei-Lei, Jean Wang Ching-Ying, Max Mok Siu-Chung, Xiong Xin-Xin, Chin Ka-Lok, Wang Jin-Hua "
Once Upon a Time in China V,Hong Kong,https://en.hkcinema.ru/foto/4755989c.jpg,1994,martial arts,Tsui Hark ,"Vincent Zhao Wen-Zhuo, Kent Cheng Jak-Si, Max Mok Siu-Chung, Rosamund Kwan Chi-Lam, Xiong Xin-Xin, Elaine Lui Siu-Ling, Jean Wang Ching-Ying "
Once Upon a Time in Shanghai,Hong Kong,https://en.hkcinema.ru/foto/18304ad1.jpg,2014,"action, martial arts",Wong Ching-Po ,"Philip Ng Wan-Lung, Andy On Chi-Kit, Michelle Hu Ran, Sammo Hung Kam-Bo, Mao Jun-Jie, Jiang Lu-Xia, Chen Kuan-Tai, Wang Chun-Yuan, Wan Chiu "
One Stone and Two Birds 3,China,https://en.hkcinema.ru/foto/92b32958.jpg,2006,"martial arts, comedy",Bai Qiu-Lin ,"Alex To Tak-Wai, Ng Man-Tat, Vivian Chan Tak-Yung, Tien Niu, Bai Qiu-Lin, Kevin Yan Kuan "
The One-Eyed Swordsman,Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1968,martial arts,Ling Yun ,"Lui Kei, Suet Nei, Sek Kin "
The One-eyed Loner,Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1969,martial arts,Ling Yun ,"Lui Kei, Suet Nei, Sek Kin, Tam Bing-Man, Sze-Ma Wah-Lung, Yeung Yip-Wang, On Wai-Lin, Fung Ging-Man, Sai Gwa-Pau, Chan Ho-Kau "
One Foot Crane,Taiwan,https://en.hkcinema.ru/foto/85f3085d.jpg,1979,martial arts,Wu Min-Hsiung ,"Lily Li Li-Li, Lo Lieh, Sze-Ma Lung, Tsai Hung, Barry Chan, Miao Tian, Ko Yu-Min, Chiang Ching-Hsia, Cliff Ching Ching, Au Lap-Bo, Li Min-Lang "
The One-Legged Fiend,Taiwan,https://en.hkcinema.ru/foto/nofoto.gif,1968,martial arts,Chang Fang-Hsia ,"Ma Kei, Tinny Ng Sau-Fong, Wai Wang, Yuen Sam, Wu Chia-Chi, Sun Chung, Ko Hsiang-Ting, Cho Kin, Liu Chik, Sally Chen Sha-Li "
One-armed Swordswoman,Taiwan,https://en.hkcinema.ru/foto/067b0216.jpg,1972,martial arts,Chin Sheng-En ,"Cheung Ching-Ching, Lui Ming, Chiang Ming, Tin Ming, Lee Keung, Chin Wan-Che, Kong Hon, Cheung Yee-Boon, Tsai Hei-Hwa, Chin Ying "
The One-armed Magic Nun,Hong Kong,https://en.hkcinema.ru/foto/b7255c56.jpg,1969,martial arts,Chan Lit-Ban ,"Lui Kei, Suet Nei, Lee Kui-On, Sek Kin, Kong Man-Sing, Lin Jing, Sze-Ma Wah-Lung, Yung Yuk-Yi, Lam Tin, Simon Yuen Siu-Tin "
The One-Armed Swordsmen,Taiwan,https://en.hkcinema.ru/foto/a36f869a.jpg,1976,martial arts,"Jimmy Wang Yu, David Chiang Da-Wei ","Jimmy Wang Yu, David Chiang Da-Wei, Lo Lieh, Chang Yu, Liu Meng-Yan, Viola Ku Yin, Lung Fei, Hung Lau, Hung Fa-Long, Yeh Hsiao-Yee, Yu Chung-Chiu "
One-Armed Boxer,Hong Kong,https://en.hkcinema.ru/foto/5f1d71a6.jpg,1972,martial arts,Jimmy Wang Yu ,"Jimmy Wang Yu, Lung Fei, Ma Kei, Cindy Tang Hsin, Hsieh Han, Tien Yeh, Shan Mao, Kwan Hung, Wong Wing-Sang, Blacky Ko Sau-Leung "
One-armed Boxer vs. the Flying Guillotine,Hong Kong,https://en.hkcinema.ru/foto/56505567dff9d.jpg,1976,martial arts,Jimmy Wang Yu ,"Jimmy Wang Yu, Doris Lung Chun-Erh, Kam Kong, Lung Fei, Au Lap-Bo, Wang Tai-Lang, Wong Wing-Sang, Wong Lik, Wong Fei-Lung, Wong Chi-Sang "
One Arm Hero,Hong Kong,https://en.hkcinema.ru/foto/fc96cc28.jpg,1994,martial arts,Wei Han-Tao ,"Do Siu-Chun, Fennie Yuen Kit-Ying, Yip Chuen-Chan, Chiu Cheung-Gwan, Lily Li Li-Li, Wong Kam-Kong, Wong Kwan-Hong, Yang Lin, Zhao Hui "
One-Armed Swordsman,Hong Kong,https://en.hkcinema.ru/foto/bc9e9f4c.jpg,1967,martial arts,Chang Cheh ,"Jimmy Wang Yu, Lisa Chiao Chiao, Huang Chung-Hsin, Wang Kuang-Yu, Wong Mei, Wong Sai-Git, Yen Shi-Kwan, Cliff Lok, Kong Lung "
The One-Armed Swordsman,Hong Kong,https://en.hkcinema.ru/foto/b99cd138.jpg,1966,martial arts,Miu Hong-Nee ,"Lui Kei, Yu So-Chau, Hung Hung, Lam Kau, Yung Yuk-Yi, Ng Chin-Fung, Kwan Hoi-San, Mak Gei, Wong Kam-Fung, Simon Yuen Siu-Tin "
One Armed Swordsman Against Nine Killers,Taiwan,https://en.hkcinema.ru/foto/80ea0a13.jpg,1976,martial arts,"Hsu Tseng-Hung, Lee Jeong-Ho ","Jimmy Wang Yu, Chung Wah, Chen Hung-Lieh, Lo Lieh, Cho Kin, Lung Fei, Wan Shan, Hsieh Hsing, Ko Chun-Pang, Wong Wing-Sang, Hau Pak-Wai "
One Armed Knight,Taiwan,https://en.hkcinema.ru/foto/b65774e4.jpg,1968,martial arts,Li Kuan-Chang ,"Li Hsuan, Tin Ming, Wu Chia-Chi, Lui Ming, Tsao Chien, Got Siu-Bo "
One Arm Chivalry Fights Against One Arm Chivalry,Hong Kong,https://en.hkcinema.ru/foto/79734e4c.jpg,1977,martial arts,Chin Sheng-En ,"Jimmy Wang Yu, Lau Kar-Wing, Lung Fei, Leung Kar-Yan, Wong Goon-Hung, Wei Pin-Ao, Ricky Cheng Tien-Chi, Yee Hung, Hsi Hsiang "
