title,country,poster,release_year,genre,director,starring
The Beheaded 1000,Taiwan,https://en.hkcinema.ru/foto/c462df00.jpg,1993,martial arts,Ting Shan-Hsi ,"Jimmy Wang Yu, Monica Chan Fat-Yung, Chin Siu-Ho, Joey Wong Cho-Yin, Wu Ma, Pauline Wong Siu-Fung, Sun Ya-Tung, Shen Hai-Rong, Wong Tak-Sang "
Qian Qiu Ying Lie Chuan,Hong Kong,https://en.hkcinema.ru/foto/5bb08b61d2341.jpg,1996,"action, historical, martial arts",,"Alan Lau Tak-Hoi, Fennie Yuen Kit-Ying, Wong Yu, Thomas Sin Ho-Ying, Wang Zhi-Fei, Yeung Ka-Lok, Zhang Jing, Yi Xiang-Yun "
Thousand Years Fox,Hong Kong,https://en.hkcinema.ru/foto/1489db46.jpg,1971,martial arts,Shin Sang-Ok ,"Shin Young-Kyun, Kim Ki-Su, Kim Hye-Jeong, Kim Nan-Yeong, Kang Kye-Shik, Lee Ki-Young, Kim Ki-Ju, Choe Sung-Kwan, Cheung Yan-Hon, Li Yun-Xing "
One Thousand Years of Love,China,https://en.hkcinema.ru/foto/5c14dccae376e.jpg,2018,"romance, fantasy, martial arts",Zhou Li-Yin ,"Wang Lin-Di, Yang Jing-Chao, Wen Dong-Jun, Xu Rui-Yang, Zhou Lin, Chen Fei-Yan, Zhou Zhong-Guang, Zheng De-Xi, Huang Bing-Jie "
Jailhouse,South Korea,https://en.hkcinema.ru/foto/c1fe05af.jpg,1975,martial arts,Lee Hyeon-Jin ,"Gang Dae-Hui, James Nam Gung-Fan, Kim Ok-Jin, Bae Su-Cheon "
Xiu Luo Yu Zhi Bi An Hua,China,https://en.hkcinema.ru/foto/5bbb3d82acdd9.jpg,2018,"martial arts, romance, fantasy","Sun Zhun, Guo Yue-Hua ","Jet Chao, Sun Meng-Chun, Rong Shuai, Liu Yuan-Feng, Yang Heng-Yuan, Li Jing-Ning, Zhong Xin-Hua, Hu Ying, Gao Min, Xu Bin "
Tough Duel,Taiwan,https://en.hkcinema.ru/foto/5635d60ab40c7.jpg,1972,martial arts,Hsiung Ting-Wu ,"Tien Peng, Wong Ching-Chun, Hong Hoi, Chen Hung-Lieh, Yue Pooi, Lung Fei, Hsieh Han, Miao Tian, Shan Mao, Yee Yuen, Chiang Fan, Go Ming "
Hard Bastard,South Korea,https://en.hkcinema.ru/foto/6d1fadc2.jpg,1981,martial arts,Godfrey Ho Jeung-Keung ,"Hwang Jang-Lee, Bruce Cheung Mong, Kim Ki-Ju, Kwon Il-Soo, Han Tae-Il, Lee Hae-Ryong, Choe Jae-Ho, Choi Sung-Kyu, Park Dong-Yong, Pearl Chi Yun-Chu "
He Has Nothing But Kung Fu,Hong Kong,https://en.hkcinema.ru/foto/1eff29a5.jpg,1977,martial arts,Lau Kar-Wing ,"Wong Yu, Gordon Liu Chia-Hui, Lau Kar-Wing, Karl Maka, Wilson Tong Wai-Shing, Ho Pak-Kwong, Lam Ching-Ying, Lee Hoi-Sang "
Wu Song in the Water Margin,China,https://en.hkcinema.ru/foto/5bb308f00342b.jpg,2018,"action, martial arts, historical","Wang Yi, Kuk Kok-Leung ","Johnny Chen Long, Zhang Han-Yu, Huang Hai-Bing, Gan Ting-Ting, Du Chun, Qiang Long, Liu Zi-He, He Jia-Yi, Mao Zhu, Li Xiao-Long "
Wu Seng,China,https://en.hkcinema.ru/foto/f0f59936.jpg,2007,martial arts,"He Wei, Chow Jan-Wing ","Mao Zhi-Qiang, Fan Siu-Wong, Yuan Wen-Ting, Liang Feng, Xu Cai-Gen, Xu Xiao-Long, Jessica Wong Ka-Wai, Lam Wai, Lau Wing "
Fingers That Kill,Hong Kong,https://en.hkcinema.ru/foto/562400fe85a2b.jpg,1972,martial arts,Hui Gwok ,"Tony Liu Chun-Ku, Thompson Kao Kang, Kao Yuen, Ang Saan, Winnie Pei Nei, Jason Pai Piao, Yau Lung, Zhou Ming-Huo, Fong Lap-Man "
The Fist That Kills,Taiwan,https://en.hkcinema.ru/foto/5623ac4a7be02.jpg,1972,martial arts,Wong Tin-Lam ,"Cheung Ching-Ching, Chiang Ming, Liu Ping, Han Chiang, Tin Ming, Lui Ming, Wei Su, Chen Chiu, Lui Jun, Kiu Lam "
The Killing Spear,Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1953,martial arts,Fung Chi-Kong ,"Walter Tso Tat-Wah, Lam Kau, Law Yim-Hing, Ha Wa "
"Killing Sword, The (Part 1)",Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1964,martial arts,Miu Hong-Nee ,"Walter Tso Tat-Wah, Yu So-Chau, Cheng Pik-Ying, Mok Wan-Ha, Lee Siu Dip, Kam Ying-Lin, Cheung Sang, Simon Yuen Siu-Tin "
The Killing Sword,Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1968,martial arts,Luk Bong ,"Suet Nei, Kenneth Tsang Kong, Sek Kin, Nancy Sit Ka-Yin, Ho King-Fan, Seung-Goon Yuk, Simon Yuen Siu-Tin, Lok Gung, Ko Lo-Chuen "
"Killing Sword, The (Part 2)",Hong Kong,https://en.hkcinema.ru/foto/d84f9901.jpg,1964,martial arts,Miu Hong-Nee ,"Yu So-Chau, Walter Tso Tat-Wah, Cheng Pik-Ying, Mok Wan-Ha, Lee Siu Dip, Chan Wai-Yue, Kam Ying-Lin "
Killing Dragon Sword,Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1961,martial arts,Chu Kei ,"Law Yim-Hing, So Siu-Tong, Mui Yan, Tam Sin-Hung, Sek Kin, Lau Hak-Suen, Mui Lan, Ling Mung "
